u,g,r,i,z,y,redshift,mstar
99,29.2842,28.0412,26.6943,26.7176,25.9082,0.738935,8.34740808371225
26.9571,25.4447,23.6568,22.4329,21.7987,21.4786,0.794509,10.7968947326473
28.2602,28.167,27.3599,26.3097,26.0153,26.8648,0.605919,8.47691998497862
26.4336,26.0687,25.2819,24.7277,24.1622,23.5866,1.27443,9.7910952787207
27.6524,28.1633,27.6012,26.5688,26.2468,25.1937,1.24065,8.88656065787384
28.102,27.6509,26.916,26.5136,26.6182,26.1928,0.407354,7.30532771910316
26.1811,25.6102,24.7356,24.0352,23.7893,23.4715,0.682326,9.12212409313675
27.6984,26.6661,26.3553,25.4444,25.0991,24.9799,0.925308,8.60959120802559
27.4155,26.942,26.9584,26.8778,26.2036,26.0287,1.49096,8.99984970810726
25.043,24.2789,23.6809,23.5558,23.2574,23.424,0.268632,7.95102455858156
27.3156,27.4792,27.2685,26.9704,26.7748,26.7068,1.7728,9.92167659322128
26.2132,25.4479,24.074,23.0359,22.2636,21.8826,0.949215,10.6986137367712
29.1813,27.0119,25.4602,24.2662,23.8075,23.5179,0.695204,9.73247498138058
26.2495,26.0274,25.2482,24.9202,24.6756,24.5365,0.310742,8.00692362878109
26.3367,26.1258,25.7095,25.081,24.8801,24.9963,0.782878,8.42822553264966
28.1571,28.2007,27.6843,26.4666,25.8323,26.8543,0.891634,8.68713997311161
26.4296,25.8376,25.0868,24.3781,23.4808,22.9756,1.12778,10.2200845413154
27.146,27.9769,26.8536,25.8262,25.1159,24.6657,0.978582,9.86734608057438
99,27.6024,26.9873,26.8847,26.06,25.5652,1.95475,9.79595575169787
28.1758,27.4148,26.3944,26.1097,25.8004,25.5147,0.475282,7.7656633402142
23.7351,22.7411,21.3719,20.725,20.3405,20.0736,0.431739,10.6088446845191
26.8216,26.6055,26.0378,25.9027,25.8085,26.1734,0.312498,7.09274520022069
26.1027,26.0019,25.5281,25.4591,25.2058,25.1345,0.301039,7.29192357588388
29.3624,28.5305,27.6306,26.8733,26.5314,26.6243,0.476665,7.87588332814642
25.1527,25.1184,24.5545,23.8796,23.6633,23.5959,0.744037,9.04750461265364
25.8268,26.1582,25.7173,25.2112,25.0794,24.5523,0.779785,8.38740584510206
27.3986,27.3545,26.6253,25.9185,25.908,25.3104,0.633424,8.0090299956849
29.3159,28.2945,27.4338,26.6518,26.8352,27.1664,0.590543,7.68341990285208
27.189,25.9858,24.404,23.255,22.8581,22.5295,0.659202,10.1807593566556
25.1265,24.047,23.1676,22.9207,22.6387,22.6163,0.317141,8.65878099051972
